"1hildegarde","Fine Gael"
"alanfarrell","Fine Gael"
"alankellylabour","Labour"
"anneferristd","Labour"
"annphelan1","Labour"
"anthonylawlorfg","Fine Gael"
"aodhanoriordain","Labour"
"aosnodaigh","Sinn Fein"
"bernarddurkantd","Fine Gael"
"bgriffintd","Fine Gael"
"billy_timmins","Fine Gael"
"brendansmithtd","Fianna Fail"
"brianwalshfg","Fine Gael"
"catherinegalway","Independent"
"cathmurphytd","Green"
"charlieflanagan","Fine Gael"
"ciarancannon","Fine Gael"
"ciarancuffe","Green"
"claredalymep","Socialist"
"corcorankennedy","Fine Gael"
"cormacdevlin","Fianna Fail"
"cowenbarry","Fianna Fail"
"damien_english","Fine Gael"
"dannevilletd","Fine Gael"
"daracalleary","Fianna Fail"
"davidcullinane","Sinn Fein"
"davidstantontd","Fine Gael"
"denisnaughten","Independent"
"donnellystephen","Fianna Fail"
"drjamesreilly","Fine Gael"
"eamonocuiv","Fianna Fail"
"eamonryan","Green"
"fergusodowd","Fine Gael"
"finianmcgrath","Independent"
"fitzgeraldfrncs","Fine Gael"
"frankfeighan","Fine Gael"
"geraldnash","Labour"
"ivanabacik","Labour"
"janosullivantd","Labour"
"jmcguinnesstd","Fianna Fail"
"joan_burton","Labour"
"joancollinstd","Independent"
"joecareytd","Fine Gael"
"johnbradysf","Sinn Fein"
"mannixflynn","Independent"
"marcmacsharry","Independent"
"marianharkin","Independent"
"martinheydonfg","Fine Gael"
"maryloumcdonald","Sinn Fein"
"mattcarthy","Sinn Fein"
"mattiemcgrathtd","Independent"
"mcconalogue","Fianna Fail"
"mhealyrae","Fianna Fail"
"michaelcolreavy","Sinn Fein"
"creedcnw","Fine Gael"
"michealmartintd","Fianna Fail"
"mitchelloconnor","Fine Gael"
"murphyeoghan","Fine Gael"
"nealerichmond","Fine Gael"
"niallcollinstd","Fianna Fail"
"padraigmacl","Sinn Fein"
"paschald","Fine Gael"
"patbreen1","Fine Gael"
"patburtonfg","Fine Gael"
"patdeeringfg","Fine Gael"
